MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,136,N431AS,ANC,SEA,1,A,11136N431AS
1,1,1/1/15,2459,N3BDAA,PHX,DFW,1,B,112459N3BDAA
1,1,1/1/15,5254,N746SK,MAF,IAH,1,B,115254N746SK
1,1,1/1/15,2859,N660MQ,SGF,DFW,1,B,112859N660MQ
1,1,1/1/15,5460,N583SW,RDD,SFO,1,A,115460N583SW
1,1,1/1/15,2926,N932MQ,CHS,DFW,1,B,112926N932MQ
1,1,1/1/15,6457,N560SW,SMX,LAX,1,A,116457N560SW
1,1,1/1/15,3534,N925MQ,ABI,DFW,1,B,113534N925MQ
1,1,1/1/15,3161,N5PBMQ,XNA,DFW,1,B,113161N5PBMQ
1,1,1/1/15,175,N3EWAA,DCA,DFW,1,B,11175N3EWAA
1,1,1/1/15,1103,N3HCAA,LGA,DFW,1,B,111103N3HCAA
1,1,1/1/15,1055,N573AA,MCO,DFW,1,B,111055N573AA
1,1,1/1/15,1180,N3AYAA,SFO,DFW,1,B,111180N3AYAA
1,1,1/1/15,1462,N547AA,ONT,DFW,1,B,111462N547AA
1,1,1/1/15,865,,MSO,DEN,1,A,11865
1,1,1/1/15,1256,,ORD,MIA,1,A,111256
1,1,1/1/15,2898,N514MQ,MAF,DFW,1,B,112898N514MQ
1,1,1/1/15,2957,N504MQ,AMA,DFW,1,B,112957N504MQ
1,1,1/1/15,2962,N609MQ,CLL,DFW,1,B,112962N609MQ
1,1,1/1/15,3014,N908MQ,HOU,DFW,1,B,113014N908MQ
1,1,1/1/15,3015,N825MQ,DFW,BTR,1,B,113015N825MQ
1,1,1/1/15,3079,N646MQ,JLN,DFW,1,B,113079N646MQ
1,1,1/1/15,3189,N532MQ,CID,DFW,1,B,113189N532MQ
1,1,1/1/15,3302,N649MQ,MLI,DFW,1,B,113302N649MQ
1,1,1/1/15,3338,N925MQ,GSP,DFW,1,B,113338N925MQ
1,1,1/1/15,3251,N615MQ,MHK,DFW,1,B,113251N615MQ
1,1,1/1/15,3377,N631MQ,MOB,DFW,1,B,113377N631MQ
1,1,1/1/15,3441,N698MQ,TLH,DFW,1,B,113441N698MQ
1,1,1/1/15,3597,N612MQ,CVG,DFW,1,B,113597N612MQ
1,1,1/1/15,3611,N902MQ,CAE,DFW,1,B,113611N902MQ
1,1,1/1/15,3678,N625MQ,TXK,DFW,1,B,113678N625MQ
1,1,1/1/15,5318,N946SW,CMX,ORD,1,B,115318N946SW
1,1,1/1/15,5445,N579SW,SMF,SFO,1,A,115445N579SW
1,1,1/1/15,3224,N631MQ,LRD,DFW,1,B,113224N631MQ
1,1,1/1/15,310,N201AA,MFE,DFW,1,B,11310N201AA
1,1,1/1/15,2881,N907MQ,FSM,DFW,1,B,112881N907MQ
1,1,1/1/15,2771,N667MQ,AEX,DFW,1,B,112771N667MQ
1,1,1/1/15,3288,N838MQ,SPS,DFW,1,B,113288N838MQ
1,1,1/1/15,3328,N640MQ,ACT,DFW,1,B,113328N640MQ
1,1,1/1/15,3408,N625MQ,SJT,DFW,1,B,113408N625MQ
1,1,1/1/15,3643,N923MQ,JAN,DFW,1,B,113643N923MQ
1,1,1/1/15,1315,N424AA,BNA,DFW,1,B,111315N424AA
1,1,1/1/15,5337,N961SW,MAF,DEN,1,B,115337N961SW
1,1,1/1/15,1125,N3KCAA,DTW,DFW,1,B,111125N3KCAA
1,1,1/1/15,1581,N3KGAA,DFW,DCA,1,B,111581N3KGAA
1,1,1/1/15,2958,N657MQ,FAR,DFW,1,B,112958N657MQ
1,1,1/1/15,3613,N932MQ,MSN,DFW,1,B,113613N932MQ
1,1,1/1/15,269,N557AA,SJC,DFW,1,B,11269N557AA
