MONTH,DAY,DATE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_CODE,ID
1,1,1/1/20,6173,N7831B,PDX,LAS,1,A,116173N7831B
1,1,1/1/20,4433,N488WN,SNA,OAK,1,A,114433N488WN
1,20,1/20/20,423,N209WN,DAL,PHX,1,A,120423N209WN
1,20,1/20/20,1519,N467WN,DAL,SAT,1,A,1201519N467WN
1,30,1/30/20,1845,N741SA,MSY,HOU,1,A,1301845N741SA
1,30,1/30/20,302,N284WN,ONT,PHX,1,A,130302N284WN
1,30,1/30/20,1219,N790SW,PHX,ONT,1,A,1301219N790SW
1,30,1/30/20,850,N253WN,SAN,SFO,1,C,130850N253WN
1,30,1/30/20,1761,N930WN,SFO,LAX,1,A,1301761N930WN
1,30,1/30/20,1777,N933WN,SFO,SAN,1,C,1301777N933WN
1,30,1/30/20,3685,N8559Q,SJU,BWI,1,A,1303685N8559Q
1,30,1/30/20,4535,N553WN,SMF,LAX,1,A,1304535N553WN
1,30,1/30/20,15,N7856A,STL,DAL,1,A,13015N7856A
1,31,1/31/20,1536,N969WN,ATL,BNA,1,A,1311536N969WN
1,31,1/31/20,1197,N913WN,BNA,ATL,1,A,1311197N913WN
1,31,1/31/20,1948,N944WN,BUR,SJC,1,A,1311948N944WN
1,31,1/31/20,667,N757LV,BUR,SMF,1,A,131667N757LV
1,31,1/31/20,1031,N904WN,CMH,BWI,1,A,1311031N904WN
1,31,1/31/20,15,N448WN,DAL,HOU,1,A,13115N448WN
1,31,1/31/20,6454,N410WN,FLL,MCO,1,A,1316454N410WN
1,31,1/31/20,4,N750SA,HOU,DAL,1,A,1314N750SA
1,31,1/31/20,12,N250WN,HOU,DAL,1,A,13112N250WN
1,31,1/31/20,1862,N279WN,LAS,DEN,1,A,1311862N279WN
1,31,1/31/20,1760,N293WN,LAX,SFO,1,C,1311760N293WN
1,31,1/31/20,1778,N569WN,SAN,SFO,1,C,1311778N569WN
1,31,1/31/20,2107,N443WN,SAN,SJC,1,A,1312107N443WN
1,31,1/31/20,1865,N8582Z,SEA,OAK,1,A,1311865N8582Z
1,31,1/31/20,1761,N293WN,SFO,LAX,1,C,1311761N293WN
1,31,1/31/20,1779,N569WN,SFO,SAN,1,C,1311779N569WN
1,31,1/31/20,980,N222WN,SJC,BUR,1,A,131980N222WN
1,31,1/31/20,2006,N226WN,SJC,SAN,1,A,1312006N226WN
1,31,1/31/20,665,N757LV,SMF,BUR,1,A,131665N757LV
1,31,1/31/20,4603,N716SW,SMF,LAS,1,A,1314603N716SW
1,6,1/6/20,1405,N7710A,DAL,AUS,1,A,161405N7710A
1,6,1/6/20,3667,N924WN,DAL,BNA,1,A,163667N924WN
1,6,1/6/20,510,N784SW,DAL,DCA,1,A,16510N784SW
1,6,1/6/20,1,N8322X,DAL,HOU,1,A,161N8322X
1,6,1/6/20,15,N788SA,DAL,HOU,1,A,1615N788SA
1,6,1/6/20,27,N7885A,DAL,HOU,1,A,1627N7885A
1,6,1/6/20,697,N793SA,DCA,ATL,1,A,16697N793SA
1,6,1/6/20,20,N455WN,HOU,DAL,1,A,1620N455WN
1,6,1/6/20,32,N7748A,HOU,DAL,1,A,1632N7748A
1,6,1/6/20,42,N954WN,HOU,DAL,1,A,1642N954WN
1,6,1/6/20,2134,N7889A,LAS,PHX,1,A,162134N7889A
1,6,1/6/20,675,N727SW,LAX,OAK,1,A,16675N727SW
1,6,1/6/20,1481,N8508W,LAX,OAK,1,A,161481N8508W
1,6,1/6/20,1760,N226WN,LAX,SFO,1,A,161760N226WN
1,6,1/6/20,1687,N7705A,MSY,HOU,1,A,161687N7705A
1,6,1/6/20,6602,N486WN,OAK,BUR,1,A,166602N486WN
1,6,1/6/20,676,N727SW,OAK,LAX,1,A,16676N727SW
1,6,1/6/20,1577,N8508W,OAK,LAX,1,A,161577N8508W
1,6,1/6/20,1460,N781WN,OAK,SAN,1,A,161460N781WN
1,6,1/6/20,1813,N718SW,ONT,SFO,1,A,161813N718SW
1,6,1/6/20,1069,N718SW,SFO,BUR,1,A,161069N718SW
1,6,1/6/20,1761,N226WN,SFO,LAX,1,A,161761N226WN
1,6,1/6/20,1879,N221WN,SJC,LAX,1,A,161879N221WN
1,7,1/7/20,4771,N7747C,ATL,DCA,1,B,174771N7747C
1,7,1/7/20,609,N773SA,BDL,BWI,1,B,17609N773SA
1,7,1/7/20,1211,N7821L,BNA,BWI,1,B,171211N7821L
1,7,1/7/20,428,N952WN,BOS,BWI,1,B,17428N952WN
1,7,1/7/20,1833,N762SW,BUR,PHX,1,A,171833N762SW
1,7,1/7/20,2435,N497WN,BUR,SJC,1,A,172435N497WN
1,7,1/7/20,6299,N773SA,BWI,BOS,1,B,176299N773SA
1,7,1/7/20,1532,N707SA,BWI,CLT,1,B,171532N707SA
1,7,1/7/20,609,N7715E,BWI,IND,1,B,17609N7715E
1,7,1/7/20,2470,N918WN,BWI,MCO,1,B,172470N918WN
1,7,1/7/20,5745,N417WN,BWI,MDW,1,B,175745N417WN
1,7,1/7/20,2122,N7732A,BWI,MKE,1,B,172122N7732A
1,7,1/7/20,1297,N415WN,BWI,RDU,1,B,171297N415WN
1,7,1/7/20,2551,N952WN,BWI,RDU,1,B,172551N952WN
1,7,1/7/20,857,N246LV,BWI,TPA,1,B,17857N246LV
1,7,1/7/20,2122,N7732A,CHS,BWI,1,B,172122N7732A
1,7,1/7/20,1707,N918WN,CLT,BWI,1,B,171707N918WN
1,7,1/7/20,152,N8579Z,DAL,DCA,1,B,17152N8579Z
1,7,1/7/20,3,N432WN,DAL,HOU,1,A,173N432WN
1,7,1/7/20,47,N791SW,DAL,HOU,1,A,1747N791SW
1,7,1/7/20,1628,N483WN,DAL,HOU,1,A,171628N483WN
1,7,1/7/20,1557,N211WN,DAL,SAT,1,A,171557N211WN
1,7,1/7/20,152,N8579Z,DCA,ATL,1,B,17152N8579Z
1,7,1/7/20,519,N944WN,DCA,BNA,1,B,17519N944WN
